RESERVATION
reservation,nombre_passagers,date,heure,hotel
Client1,7,19/3/2026,09:00:00,hotel1
Client2,20,19/3/2026,08:00:00,hotel2
Client3,3,19/3/2026,09:10:00,hotel1
Client4,10,19/3/2026,09:15:00,hotel1
Client5,5,19/3/2026,09:20:00,hotel1
Client6,12,19/3/2026,13:30:00,hotel1

VOITURE
vehicule,place,type,depart_heure_dispo
vehicule1,5,D,00:00:00
vehicule2,5,E,00:00:00
vehicule3,12,D,00:00:00
vehicule4,9,D,00:00:00
vehicule5,12,E,13:00:00

DISTANCE
id,from,to,km
1,aeroport,hotel1,90
2,aeroport,hotel1,35
3,hotel1,hotel2,60

PARAMETRE
id,temps_attente,vitesse_moyenne
1,30,50
